Seq_ID,OR_GR_hits,,,,,,
Trinity_Pqd.fa,,Lepidoptera,Nepticuloidea,Opostegidae,Pseudopostega,cf.quadristrigella,Pqd
FG120095_CLEAN.fa,0,Lepidoptera,Noctuoidea,Erebidae,Melese,sp.,FG120095
final_soap_ERR1466856.fa,1,Lepidoptera,Noctuoidea,Erebidae,Arctia,plantaginis,ERR1466856
final_soap_FG120015.fa,0,Lepidoptera,Noctuoidea,Notodontidae,Notoplusia,minuta,FG120015
final_soap_SRR1040496.fa,2,Lepidoptera,Noctuoidea,Erebidae,Euproctis,chrysorrhoea,SRR1040496
final_soap_SRR3406055.fa,6,Lepidoptera,Noctuoidea,Noctuidae,Spodoptera,frugiperda,SRR3406055
final_soap_SRR5115697.fasta,0,Lepidoptera,Noctuoidea,Noctuidae,Mythimna,separata,SRR5115697
final_soap_SRR525279.fa,1,Lepidoptera,Noctuoidea,Noctuidae,Spodoptera,exigua,SRR525279
final_soap_SRR867201.fa,37,Lepidoptera,Noctuoidea,Noctuidae,Sesamia,inferens,SRR867201
final_soap_SW130103.fa,4,Lepidoptera,Noctuoidea,Euteliidae,Anigraea,sp.,SW130103
final_soap_SW130224.fa,2,Lepidoptera,Noctuoidea,Nolidae,Manoba,major,SW130224
final_soap_SW130232.fa,2,Lepidoptera,Noctuoidea,Erebidae,Eudocima,salaminia,SW130232
Trinity_Hv.fa,5,Lepidoptera,Noctuoidea,Noctuidae,Heliothis,virescens,Hv
Trinity_Hz2.fa,6,Lepidoptera,Noctuoidea,Noctuidae,Helicoverpa,zea,Hz2
Trinity_Ly3.fa,0,Lepidoptera,Noctuoidea,Erebidae,Lymantria,dispar,Ly3
Trinity_Striacosta.fa,6,Lepidoptera,Noctuoidea,Noctuidae,Striacosta,albicosta,Striacosta
Pal_unfiltered.fa,,Lepidoptera,Palaephatoidea,Palaephatidae,Palaephatus,luteolus,Pal
Ptys_unfiltered.fa,,Lepidoptera,Palaephatoidea,Palaephatidae,Ptyssoptera,sp.,Ptys
Trinity_Met4_plus_Met6.fa,,Lepidoptera,Palaephatoidea,Palaephatidae,Metaphatus,ochraceus,Met4
Trinity_Pro43D.fa,,Lepidoptera,Palaephatoidea,Palaephatidae,Palaephatus,nielseni,Pro43D
CLEAN_final_soap_BRF140001.fa,,Lepidoptera,Papilionoidea,Pieridae,Ascia,monuste,BRF140001
CLEAN_final_soap_BRF140003.fa,,Lepidoptera,Papilionoidea,Pieridae,Hebomoia,glaucippe,BRF140003
final_soap_FG120077.fa,,Lepidoptera,Papilionoidea,Riodinidae,Semomesia,capanea,FG120077
final_soap_FG120122.fa,,Lepidoptera,Papilionoidea,Hedylidae,Macrosoma,hedylaria,FG120122
final_soap_GNV120020.fa,,Lepidoptera,Papilionoidea,Hesperiidae,Hylephila,phyleus,GNV120020
final_soap_GNV120025.fa,,Lepidoptera,Papilionoidea,Lycaenidae,Hemiargus,ceraunus,GNV120025
final_soap_GNV139000.fa,,Lepidoptera,Papilionoidea,Hesperiidae,Megathymus,yuccae,GNV139000
final_soap_SRR1166419.fa,,Lepidoptera,Papilionoidea,Nymphalidae,Junonia,coenia,SRR1166419
final_soap_SRR1325130.fa,,Lepidoptera,Papilionoidea,Hesperiidae,Thymelicus,sylvestris,SRR1325130
final_soap_SRR2441453.fa,,Lepidoptera,Papilionoidea,Lycaenidae,Cigaritis,takanonis,SRR2441453
final_soap_SRR2924893.fa,,Lepidoptera,Papilionoidea,Papilionidae,Luehdorfia,chinensis,SRR2924893
final_soap_SRR3721684.fa,,Lepidoptera,Papilionoidea,Nymphalidae,Maniola,jurtina,SRR3721684
final_soap_SRR850324.fa,,Lepidoptera,Papilionoidea,Papilionidae,Papilio,glaucus,SRR850324
final_soap_GNV120027.fa,8,Lepidoptera,Pterophoroidea,Pterophoridae,Lantanophaga,pusillidactyla,GNV120027
Trinity_Emm.fa,4,Lepidoptera,Pterophoroidea,Pterophoridae,Emmelina,monodactyla,Emm
final_soap_FG120071B.fa,5,Lepidoptera,Pyraloidea,Crambidae,Myelobia,sp.,FG120071B
final_soap_SRR64791_.fa,8,Lepidoptera,Pyraloidea,Crambidae,Cnaphalocrocis,medinalis,SRR64791_
Trinity_Cr4.fa,4,Lepidoptera,Pyraloidea,Crambidae,Catoptria,oregonicus,Cr4
Trinity_Gal.fa,5,Lepidoptera,Pyraloidea,Pyralidae,Galleria,melonella,Gal
final_soap_SRR1204999.fa,,Lepidoptera,Sesioidea,Castniidae,Telchin,licus,SRR1204999
Trinity_Cul.fa,,Lepidoptera,Sesioidea,Castniidae,Synemon,plana,Cul
Trinity_Podo.fa,,Lepidoptera,Sesioidea,Sesiidae,Podosesia,syringae,Podo
Trinity_Vit.fa,,Lepidoptera,Sesioidea,Sesiidae,Vitacea,polistiformis,Vit
File Name,,Order,Superfamily,Family,Genus,Species,Library-ID / ID
final_soap_FG120079.fa,8,Lepidoptera,Thyridoidea,Thyrididae,Zeuzerodes,maculata,FG120079
final_soap_GNV139006.fa,4,Lepidoptera,Thyridoidea,Thyrididae,Pseudothyris,sepulchralis,GNV139006
Trinity_Ssk.fa,5,Lepidoptera,Thyridoidea,Thyrididae,Striglina,suzukii,Ssk
Dry_unfiltered.fa,,Lepidoptera,Tineoidea,Dryadaulidae,Dryadaula,visaliella,Dry
Euds_unfiltered.fa,,Lepidoptera,Tineoidea,Meessiidae,Eudarcia,simulatricella,Euds
Tep2_unfiltered.fa,,Lepidoptera,Tineoidea,Psychidae,Thyridopteryx,ephemeraeformis,Tep2
Ts2_unfiltered.fa,,Lepidoptera,Tischerioidea,Tischeriidae,Tischeria,quercitella,Ts2
final_soap_SRR803483.fa,,Lepidoptera,Tortricoidea,Tortricidae,Grapholita,dimorpha,SRR803483
Trinity_Cro.fa,,Lepidoptera,Tortricoidea,Tortricidae,Phaecasiophora,niveiguttana,Cro
Trinity_Cyd.fa,,Lepidoptera,Tortricoidea,Tortricidae,Cydia,pomonella,Cyd
Trinity_Ur2.fa,,Lepidoptera,Urodoidea,Urodidae,Urodus,decens,Ur2
final_soap_FG120035.fa,,Lepidoptera,Zygaenoidea,Dalceridae,Dalcera,abrasa,FG120035
Trinity_Lag.fa,,Lepidoptera,Zygaenoidea,Megalopygidae,Megalopyge,crispata,Lag
Trinity_Sub.fa,,Lepidoptera,Zygaenoidea,Lacturidae,Lactura,subfervens,Sub
