Phragmatobia fuliginosa,37,Phragmatobia,fuliginosa,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Phragmatobia&with&Species=fuliginosa
Phyllodes eyndhovii,1,Phyllodes,eyndhovii,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Phyllodes&with&Species=eyndhovii
Dyseriocrania subpurpurella,0,Dyseriocrania,subpurpurella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Dyseriocrania&with&Species=subpurpurella
Tuta absoluta,0,Tuta,absoluta,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Tuta&with&Species=absoluta
Biston betularia,138,Biston,betularia,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Biston&with&Species=betularia
Ectropis obliqua,24,Ectropis,obliqua,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Ectropis&with&Species=obliqua
Macaria distribuaria,0,Macaria,distribuaria,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Macaria&with&Species=distribuaria
Nemoria lixaria,2,Nemoria,lixaria,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Nemoria&with&Species=lixaria
Operophtera brumata,94,Operophtera,brumata,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Operophtera&with&Species=brumata
Acrocercops transecta,14,Acrocercops,transecta,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Acrocercops&with&Species=transecta
Caloptilia triadicae,0,Caloptilia,triadicae,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Caloptilia&with&Species=triadicae
Cameraria ohridella,1,Cameraria,ohridella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Cameraria&with&Species=ohridella
Philodoria splendida,2,Philodoria,splendida,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Philodoria&with&Species=splendida
Phyllocnistis citrella,58,Phyllocnistis,citrella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Phyllocnistis&with&Species=citrella
Helicopsyche borealis,0,Helicopsyche,borealis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Helicopsyche&with&Species=borealis
Phymatopus californicus,3,Phymatopus,californicus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Phymatopus&with&Species=californicus
Triodia sylvina,2,Triodia,sylvina,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Triodia&with&Species=sylvina
Hylephila phyleus,27,Hylephila,phyleus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hylephila&with&Species=phyleus
Lerema accius,13,Lerema,accius,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Lerema&with&Species=accius
Megathymus yuccae,33,Megathymus,yuccae,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Megathymus&with&Species=yuccae
Thymelicus sylvestris,6,Thymelicus,sylvestris,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Thymelicus&with&Species=sylvestris
Urbanus proteus,60,Urbanus,proteus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Urbanus&with&Species=proteus
Palaeagapetus nearcticus,0,Palaeagapetus,nearcticus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Palaeagapetus&with&Species=nearcticus
Lactura subfervens,1,Lactura,subfervens,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Lactura&with&Species=subfervens
Dendrolimus pini,14,Dendrolimus,pini,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Dendrolimus&with&Species=pini
Demonarosa rufotessellata,0,Demonarosa,rufotessellata,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Demonarosa&with&Species=rufotessellata
Calycopis cecrops,16,Calycopis,cecrops,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Calycopis&with&Species=cecrops
Hemiargus ceraunus,28,Hemiargus,ceraunus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hemiargus&with&Species=ceraunus
Polyommatus icarus,17,Polyommatus,icarus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Polyommatus&with&Species=icarus
Leucoptera coffeella,1,Leucoptera,coffeella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Leucoptera&with&Species=coffeella
Megalopyge crispata,20,Megalopyge,crispata,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Megalopyge&with&Species=crispata
Micropterix calthella,0,Micropterix,calthella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Micropterix&with&Species=calthella
Lacosoma chiridota,13,Lacosoma,chiridota,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Lacosoma&with&Species=chiridota
Enteucha acetosae,7,Enteucha,acetosae,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Enteucha&with&Species=acetosae
Stigmella atricapitella,8,Stigmella,atricapitella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Stigmella&with&Species=atricapitella
Agrotis infusa,14,Agrotis,infusa,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Agrotis&with&Species=infusa
Amphipyra pyramidea,16,Amphipyra,pyramidea,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Amphipyra&with&Species=pyramidea
Helicoverpa zea,263,Helicoverpa,zea,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Helicoverpa&with&Species=zea
Heliothis virescens,104,Heliothis,virescens,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Heliothis&with&Species=virescens
Mythimna separata,0,Mythimna,separata,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Mythimna&with&Species=separata
Sesamia inferens,79,Sesamia,inferens,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Sesamia&with&Species=inferens
Spodoptera exigua,236,Spodoptera,exigua,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Spodoptera&with&Species=exigua
Spodoptera frugiperda,193,Spodoptera,frugiperda,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Spodoptera&with&Species=frugiperda
Striacosta albicosta,0,Striacosta,albicosta,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Striacosta&with&Species=albicosta
Manoba major,0,Manoba,major,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Manoba&with&Species=major
Pheosia gnoma,4,Pheosia,gnoma,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Pheosia&with&Species=gnoma
Bicyclus anynana,3,Bicyclus,anynana,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Bicyclus&with&Species=anynana
Danaus plexippus,126,Danaus,plexippus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Danaus&with&Species=plexippus
Heliconius melpomene,26,Heliconius,melpomene,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Heliconius&with&Species=melpomene
Junonia coenia,99,Junonia,coenia,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Junonia&with&Species=coenia
Maniola jurtina,16,Maniola,jurtina,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Maniola&with&Species=jurtina
Melitaea cinxia,19,Melitaea,cinxia,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Melitaea&with&Species=cinxia
Pararge aegeria,20,Pararge,aegeria,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Pararge&with&Species=aegeria
Polygonia c-album,56,Polygonia,c-album,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Polygonia&with&Species=c-album
Pseudopostega quadristrigella,1,Pseudopostega,quadristrigella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Pseudopostega&with&Species=quadristrigella
Luehdorfia chinensis,2,Luehdorfia,chinensis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Luehdorfia&with&Species=chinensis
Papilio glaucus,122,Papilio,glaucus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Papilio&with&Species=glaucus
Papilio machaon,102,Papilio,machaon,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Papilio&with&Species=machaon
Parides eurimedes,1,Parides,eurimedes,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Parides&with&Species=eurimedes
Anthocharis cardamines,16,Anthocharis,cardamines,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Anthocharis&with&Species=cardamines
Ascia monuste,54,Ascia,monuste,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Ascia&with&Species=monuste
